common_name,scientific_name,layer,start_crop_time,end_crop_time,spacing
Abacate,Persea americana,alto,6,50,10
Abiu roxo,Chrysophyllum cainito,alto,15,30,5
Acerola,Malpighia glabra L.,alto,3,15,5
Banana roxa,Musa acuminata,alto,2,15,3
Banana São Tomé,Musa paradisiaca,alto,2,15,3
Biribá,Annona mucosa,alto,4,15,5
Buriti,Mauritia flexuosa,alto,10,50,8
Cagaita,Stenocalyx dysentericus,alto,10,30,6
Cambucá,Plinia edulis,alto,10,30,6
Couve-flor,Brassica oleracea var botrytis,alto,"0,25","0,25","0,5"
Cupuaçu,Theobroma grandiflorum,alto,6,30,5
Erva mate,Ilex paraguariensis,alto,3,30,"1,5"
Graviola,Annona muricata,alto,5,15,4
Guabiroba,Campomanesia xanthocarpa,alto,10,30,3
Jambo,Syzygium jambos,alto,7,30,5
Jenipapo,Genipa americana,alto,5,50,5
Macadâmia,Macadamia ternifolia,alto,10,30,5
Manga,Mangifera indica,alto,3,50,5
Mangaba,Harconia speciosa,alto,6,50,7
Nespera,Eriobotrya japonica,alto,5,15,5
Pinha,Annona squamosa,alto,4,15,3
Pitomba,Talisia esculenta,alto,10,30,7
Sapoti,Manilkara zapota,alto,10,30,6
Açaí,Euterpe oleracea,alto,6,30,5
Babaçu,Attalea speciosa,alto,10,30,5
Banana da terra,Musa paradisiaca,alto,1,3,2
Banana nanica,Musa acuminata 'Dwarf Cavendish',alto,"1,5",3,2
Caqui,Diospyros kaki,alto,3,30,4
Cereja do Rio Grande,Eugenia aggregata,alto,10,30,3
Figo,Ficus carica,alto,2,30,"2,5"
Goiaba,Psidium guajava,alto,3,30,6
Guaraná,Paullinia cupana,alto,6,15,4
Ingá,Inga fagifolia,alto,3,15,3
Jaca,Artocarpus heterophyllus,alto,6,30,8
Jambolão,Syzygium cumini,alto,3,15,5
Jerivá,Syagrus romanzoffiana,alto,10,30,3
Juçara,Euterpe edulis,alto,6,30,2
Lichia,Litchi chinensis,alto,5,30,12
Maçã,Malus domestica,alto,3,30,1
Maracujá,Passiflora edulis,alto,"0,5",3,"1,5"
Oliveira,Olea europaea,alto,5,30,4
Pitaia,Hylocereus undatus,alto,2,15,2
Pupunha,Bactris gasipaes,alto,5,30,1
Rambutão,Nephelium lappaceum,alto,6,15,8
Romã,Punica granatum,alto,5,15,3
Seringueira,Hevea brasiliensis,alto,10,30,3
Videira,Vitis,alto,3,30,2
Abacaxi,Ananas comosus,baixo,"1,5",3,"1,2"
Bacupari miúdo,Garcinia brasiliensis,baixo,10,30,5
Batata doce,Ipomoea batatas,baixo,"0,33","0,33","0,25"
Cabeludinha,Myrciaria glazioviana,baixo,6,30,4
Cacau,Theobroma cacao,baixo,3,50,3
Café,Coffea arabica,baixo,2,50,"0,5"
Jabuticaba,Plinia peruviana,baixo,8,50,10
Limão cravo,Citrus limonia,baixo,3,10,6
Lima da pérsia,Citrus limettioides,baixo,3,15,4
Limão thaiti,Citrus latifolia,baixo,3,15,4
Marmelo português,Cydonia oblonga,baixo,5,30,3
Araucária,Araucaria angustifolia,emergente,15,50,6
Bacuri,Platonia insignis,emergente,10,30,10
Cajá,Spondias mombin,emergente,5,50,6
Caju,Anacardium occidentale,emergente,2,50,7
Castanha do pará,Bertholletia excelsa,emergente,12,30,10
Chichá,Sterculia chicha,emergente,6,30,3
Coco da Bahia,Cocos nucifera,emergente,5,30,5
Copaíba,Copaifera langsdorffii,emergente,10,30,"7,5"
Fruta pão,Artocarpus altilis,emergente,5,50,8
Jatobá,Hymenaea courbaril,emergente,10,30,3
Mamão,Carica papaya,emergente,1,4,2
Noz pecã,Carya illinoinensis,emergente,10,30,10
Pequi,Caryocar brasiliense,emergente,6,30,8
Pera,Pyrus communis,emergente,6,30,5
Tamarindo,Tamarindus indica,emergente,8,30,10
Amora,Morus nigra,médio,"1,5",15,"0,8"
Araçá,Psidium guineense,médio,3,30,4
Cambuci,Campomanesia phaea,médio,10,30,4
Pitanga,Eugenia uniflora,médio,3,50,5
Abiu,Pouteria caimito,médio,10,30,5
Ameixa japonesa,Eriobotrya japonica,médio,3,30,4
Bacupari-açú,Garcinia gardneriana,médio,10,30,5
Banana maçã,Musa acuminata,médio,"1,5",30,2
Banana ouro,Musa acuminata,médio,"1,5",30,2
Banana pão,Musa acuminata,médio,"1,5",30,"2,5"
Banana prata,Musa sapientum,médio,"1,5",30,2
Canela de cheiro,Cinnamomum Zeylanicum,médio,15,30,4
Carambola,Averrhoa carambola,médio,3,30,4
Coité,Crescentia cujete,médio,3,15,5
Goiaba serrana,Acca sellowiana,médio,6,15,3
Groselha,Ribes rubrum,médio,6,15,1
Grumixama,Eugenia brasiliensis,médio,10,30,5
Laranja,Citrus sinensis,médio,3,15,3
Longan,Dimocarpus longan,médio,5,15,6
Louro,Laurus nobilis,médio,3,20,"0,6"
Mangostão,Garcinia mangostana,médio,15,30,7
Murici,Byrsonima crassifolia,médio,6,30,5
Nectarina,Prunus persica,médio,3,15,4
Pêssego,Prunus persica,médio,3,30,4
Pokãn,Citrus reticulata,médio,3,15,3
Urucum,Bixa orellana,médio,2,3,4
Uvaia,Eugenia pyriformis,médio,6,30,4
Crotalária juncea,Crotalaria juncea,emergente,"0,12","0,16","0,5"
Alface crespa,lactuca sativa var. crispa,médio,"0,12","0,16","0,25"
Alface roxa,,médio,"0,12","0,16","0,25"
Rabanete,,médio,"0,068","0,12","0,05"
Rúcula,,médio,"0,08","0,12","0,05"
Coentro,,médio,"0,08","0,12","0,05"
